0.031655,0.171917,0.002466,0.055954,0.171917,0.171917,0.021462,0.013812,0.171917,0.171917,0.015065
0.032746,0.014669,0.006547,0.118255,0.118255,0.118255,0.118255,0.118255,0.118255,0.118255,0.118255
0.032746,0.014669,0.006547,0.118255,0.118255,0.118255,0.118255,0.118255,0.118255,0.118255,0.118255
0.122235,0.122235,0.007989,0.122235,0.122235,0.002399,0.122235,0.084060,0.049906,0.122235,0.122235
0.045083,0.070081,0.052556,0.128853,0.052736,0.128853,0.006427,0.128853,0.128853,0.128853,0.128853
0.005536,0.049090,0.117483,0.005510,0.117483,0.117483,0.117483,0.117483,0.117483,0.117483,0.117483
0.025528,0.008625,0.163552,0.007184,0.028963,0.093870,0.018070,0.163552,0.163552,0.163552,0.163552
0.118591,0.026288,0.118591,0.001820,0.118591,0.023166,0.118591,0.118591,0.118591,0.118591,0.118591
0.005207,0.129477,0.012698,0.129477,0.068801,0.129477,0.059249,0.120958,0.129477,0.085703,0.129477
0.146970,0.146970,0.022556,0.146970,0.014919,0.146970,0.009914,0.146970,0.033218,0.146970,0.037576
0.103301,0.103301,0.063091,0.007202,0.103301,0.103301,0.103301,0.103301,0.103301,0.103301,0.103301
0.044945,0.017894,0.104129,0.104129,0.104129,0.104129,0.104129,0.104129,0.104129,0.104129,0.104129
0.014740,0.108726,0.108726,0.108726,0.108726,0.006728,0.108726,0.108726,0.108726,0.108726,0.108726
0.021033,0.007211,0.177930,0.002176,0.078608,0.177930,0.177930,0.177930,0.013913,0.054013,0.111324
0.012445,0.114857,0.041592,0.114857,0.027105,0.114857,0.114857,0.114857,0.114857,0.114857,0.114857
0.030175,0.115720,0.001851,0.086880,0.115720,0.115720,0.071052,0.115720,0.115720,0.115720,0.115720
0.094152,0.094152,0.094152,0.094152,0.094152,0.094152,0.094152,0.058480,0.094152,0.094152,0.094152
0.057181,0.001747,0.023559,0.114689,0.114689,0.114689,0.114689,0.114689,0.114689,0.114689,0.114689
0.001658,0.122091,0.122091,0.077012,0.007283,0.122091,0.059409,0.122091,0.122091,0.122091,0.122091
0.103665,0.103665,0.103665,0.062357,0.103665,0.004661,0.103665,0.103665,0.103665,0.103665,0.103665
0.030357,0.115492,0.001964,0.115492,0.043742,0.115492,0.115492,0.115492,0.115492,0.115492,0.115492
0.018741,0.007267,0.154222,0.154222,0.010189,0.154222,0.154222,0.011018,0.154222,0.027452,0.154222
0.013974,0.121798,0.018841,0.121798,0.045300,0.069296,0.121798,0.121798,0.121798,0.121798,0.121798
0.016280,0.108636,0.108636,0.108636,0.108636,0.108636,0.005994,0.108636,0.108636,0.108636,0.108636
0.016674,0.005404,0.130593,0.130593,0.017816,0.130593,0.045954,0.130593,0.130593,0.130593,0.130593
0.102968,0.057921,0.015368,0.102968,0.102968,0.102968,0.102968,0.102968,0.102968,0.102968,0.102968
0.124144,0.124144,0.078308,0.008442,0.124144,0.124144,0.010721,0.084909,0.072758,0.124144,0.124144
0.013426,0.126606,0.014814,0.111789,0.093798,0.126606,0.126606,0.126606,0.006539,0.126606,0.126606
0.108407,0.108407,0.108407,0.108407,0.108407,0.015802,0.108407,0.061728,0.055215,0.108407,0.108407
0.130703,0.130703,0.130703,0.056956,0.096795,0.130703,0.130703,0.005711,0.023432,0.130703,0.032887
0.098683,0.013169,0.098683,0.098683,0.098683,0.098683,0.098683,0.098683,0.098683,0.098683,0.098683
0.102695,0.102695,0.008296,0.067452,0.102695,0.102695,0.102695,0.102695,0.102695,0.102695,0.102695
0.129827,0.129827,0.129827,0.129827,0.019721,0.077781,0.044934,0.129827,0.018558,0.129827,0.060041
0.006083,0.133896,0.015764,0.133896,0.078264,0.133896,0.088840,0.133896,0.007676,0.133896,0.133896
0.032746,0.014669,0.006547,0.118255,0.118255,0.118255,0.118255,0.118255,0.118255,0.118255,0.118255
0.012464,0.040870,0.017971,0.008431,0.131466,0.131466,0.131466,0.131466,0.131466,0.131466,0.131466
